Dates,XLC US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLV US Equity,XLI US Equity,XLB US Equity,XLRE US Equity,XLK US Equity,XLU US Equity
2/2/2018,#N/A N/A,13241.3,8209.15,18964.5,34493.5,17066.5,14504.3,5309.82,2348.86,21084.5,7191.41
2/9/2018,#N/A N/A,12906.6,7805.23,17645.8,32074.1,15986.1,12903.9,4923.27,2241.71,18932.3,7401.72
2/16/2018,#N/A N/A,13382,7471.07,17941.1,33154.4,16156.6,13234.1,5075.71,2336.28,19986.4,7098.2
2/23/2018,#N/A N/A,13514.5,7664.54,17848.4,33326.3,16000.7,13079.4,5171.27,2532.75,20272.3,7027.56
3/2/2018,#N/A N/A,13056.8,7863.33,17422,32705.9,15763.2,11928.8,4915.71,2482.86,20571.7,6630.11
3/9/2018,#N/A N/A,13870,8087.45,17617.3,34486,16230.6,13103.2,5290.3,2284.04,21978.4,6573.86
3/16/2018,#N/A N/A,13621.2,8558.44,17185.9,32845.3,16383.4,12676,5055.77,2313.24,22094.6,6749.79
3/23/2018,#N/A N/A,12913.5,8103.11,17061.4,30302.5,14963.2,12327.7,4695.81,2247.73,20001.1,7171.3
3/30/2018,#N/A N/A,12828.7,8769.31,17353,32081.7,15259.7,12709.2,4641.96,2357.42,20385.3,7100.69
4/6/2018,#N/A N/A,12650.8,7515.55,17361.1,31775.2,14807,13002.3,4575.83,2302.1,19545.2,7029.77
4/13/2018,#N/A N/A,13148.8,7513.63,18372,32638.8,15245.4,13057.5,4981.41,2319.51,20393.8,6795.05
4/20/2018,#N/A N/A,13202.4,7246.42,18414.7,32301.6,15298.7,13950.2,5146.2,2305.79,20389.8,6577.94
4/27/2018,#N/A N/A,13102.6,7606.45,18538,32392.3,15523,12543,4899.42,2347.46,19945.3,7201.87
5/4/2018,#N/A N/A,12893.6,7703.03,18534.4,31687.6,14759.4,11975.4,4801.66,2327.9,20235.7,7390.35
5/11/2018,#N/A N/A,13017.2,7466.76,19134.5,33102.2,15154.2,12740,4703.76,2404.16,21596.8,7039.3
5/18/2018,#N/A N/A,13166.8,7365.2,19560.6,32616.1,15239.4,12691.3,4891.98,2327.14,21267.5,6840.19
5/25/2018,#N/A N/A,13234.8,7468.12,18672.9,32628.9,15191.7,13039.6,4825.47,2365.76,21493.9,6998
6/1/2018,#N/A N/A,13525.6,7457.53,19028.1,32060.8,15335.3,12912.8,4845.14,2386.18,22141.4,7105.93
6/8/2018,#N/A N/A,14114.1,7356.21,19034.6,33020.5,15895.3,13069.4,4904.34,2412.52,22429.1,6698.49
