Dates,XLC US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLV US Equity,XLI US Equity,XLB US Equity,XLRE US Equity,XLK US Equity,XLU US Equity
9/14/2018,48.37,116.92,54.76,74.26,28.23,93.53,79.07,59.41,33.58,74.94,54.3
9/21/2018,48.55,116.92,55.02,75.1,28.74,94.27,80,60.56,33.15,74.61,53.06
9/28/2018,49,117.22,53.93,75.74,27.58,95.15,78.4,57.93,32.61,75.33,52.65
10/5/2018,47.82,112.24,53.44,77.16,28,94.29,78.93,57.64,31.75,73.62,53.63
10/12/2018,46.37,108.48,52.38,73,26.43,91.07,73.9,53.76,30.81,70.83,52.95
10/19/2018,46.72,106.34,54.69,71.53,26.67,91.51,73.18,53.1,31.82,70.01,54.57
10/26/2018,44.6,103.41,53.83,66.48,25.26,87.42,69.1,50.86,31.48,68.09,53.37
11/2/2018,45.84,107.97,55.11,67.56,26.38,89.26,70.99,53.96,31.94,68.74,53.15
11/9/2018,45.37,110.02,56.82,68.5,27.12,92.95,72.42,54.98,33.12,69.84,54.87
11/16/2018,44.88,106.37,56.06,67.18,26.79,92.04,71.99,55.24,33.46,68.21,54.88
11/23/2018,42.89,102.02,54.79,63.91,26,89.64,69.73,53.31,32.97,64.08,54.11
11/30/2018,45.01,107.99,56.26,66.11,26.97,95.87,72.54,54.61,33.85,67.94,55.59
12/7/2018,43.4,103.37,54.72,64.07,25.11,90.56,68.03,51.91,33.96,64.6,56.46
12/14/2018,43.61,102.33,54.5,62.09,24.24,88.96,67.05,51.32,33.42,64.57,56.82
12/21/2018,39.81,93.76,50.18,56.11,22.79,82.68,62.25,48.6,30.95,59.2,53.81
12/28/2018,41.22,97.96,50.57,57.05,23.59,85.25,63.77,50.1,30.94,61.4,52.83
1/4/2019,42.9,100.83,51.26,59.87,24.26,85.96,65.15,51.28,30.74,61.5,52.77
1/11/2019,44.05,104.58,51.63,62.01,24.5,87.81,67.87,52.27,31.97,63.54,53.23
1/18/2019,44.97,106.81,52.45,63.84,26,90.08,70.19,53.51,32.66,65.35,53.14
1/25/2019,44.6,107.03,51.73,62.93,26,88.92,70.07,53.12,33.13,65.93,53.32
2/1/2019,45.97,107.19,53.22,64.89,26.05,90.75,71.88,53.51,34.12,66.67,54.55
2/8/2019,45.73,107.13,53.79,62.94,25.67,89.94,73.07,52.7,34.57,67.99,55.68
2/15/2019,46.18,110.06,54.35,66.12,26.43,92.85,75.69,54.48,35,69.62,55.71
2/22/2019,46.07,111.11,54.43,65.76,26.46,92.55,76.21,55.78,35.08,70.64,57.05
3/1/2019,46.28,111.1,54.24,66.45,26.69,92.95,76.41,54.98,34.67,71.34,57.13
3/8/2019,46.17,108.41,53.71,63.9,25.97,89.4,74.27,54.73,34.82,69.81,57.55
3/15/2019,47.02,110.6,54.7,65.51,26.63,91.99,73.99,55.4,35.46,72.99,58.19
3/22/2019,46.97,111.67,55.08,65.47,25.34,90.62,72.95,54.33,35.8,73.32,58.49
3/29/2019,46.77,113.85,56.11,66.12,25.71,91.75,75.03,55.5,36.22,74,58.17
4/5/2019,48.32,117.52,55.59,67.61,26.6,92,77.01,57.82,36.55,75.92,58.1
4/12/2019,49.02,118.32,56.2,67.56,27.14,89.81,77.28,58.12,36.7,76.81,58.21
4/19/2019,49.15,119.27,56.87,67.19,27.34,85.92,78.31,57.82,35.53,77.82,57.29
4/26/2019,50.76,120.67,56.98,66.22,27.7,89.01,77.52,57.07,35.99,78.56,58.1
5/3/2019,50.09,120.1,57.41,64.25,28.07,90.16,78.4,56.67,36.35,78.84,58.3
5/10/2019,49.11,117.29,57.31,64.05,27.48,88.91,76.27,55.14,36.11,76.18,57.96
5/17/2019,49,115.91,57.75,63.75,26.88,88.44,74.82,54.65,36.64,75.38,58.78
5/24/2019,47.98,113.43,57.52,61.62,26.86,89.56,73.78,53.79,36.75,73.3,59.83
5/31/2019,47.09,110.94,55.61,58.77,26.01,87.28,72.05,52.75,36.47,71.89,58.25
6/7/2019,47.57,115.78,58.63,61.27,27.12,91.01,75.72,57.53,37.43,76.19,60.06
6/14/2019,48.12,118.49,59.09,61.01,27.24,91.25,75.41,57.87,37.72,76.1,60.81
6/21/2019,49.4,119.52,58.72,63.56,27.22,93.73,77.08,57.67,37.77,78.31,60.99
6/28/2019,49.22,119.2,58.07,63.71,27.6,92.64,77.42,58.5,36.77,78.04,59.63
7/5/2019,50.41,121.7,59.4,63.09,28.16,93.75,77.51,58.92,37.71,79.95,60.68
7/12/2019,51.24,124.08,59.83,64.44,28.32,92.44,78.39,58.37,37.62,81.14,60.61
7/19/2019,49.59,122.16,59.94,62.76,27.94,91.76,77.45,58.41,36.8,80.69,60.37
7/26/2019,51.72,123.55,60.37,62.45,28.69,92.07,78.5,59.06,37.05,82.59,59.98
8/2/2019,50.05,118.1,59.23,60.4,27.6,91.05,75.82,57.33,37.79,79.05,60.15
8/9/2019,49.62,118.29,59.32,59.1,27.17,91.4,75.42,57.73,38.47,78.49,60.87
8/16/2019,48.74,115.89,60.21,57.02,26.57,90.55,74.3,56.62,38.66,78.28,61.38
8/23/2019,47.9,116.49,59.62,55.96,26.1,88.76,73.12,54.95,38.58,77.17,61.48
8/30/2019,49.53,119.58,60.72,57.48,26.92,90.6,75.76,56.69,39.21,79.53,62.58
9/6/2019,50.73,122.87,61.44,59.03,27.44,91.27,77.2,57.24,39.8,81.5,62.81
9/13/2019,51.29,123.42,61.04,61.08,28.49,91.51,79.35,59.14,38.59,81.16,62.94
9/20/2019,50.69,120.39,60.32,61.28,28.08,92,77.81,58.34,39.12,80.26,63.87
9/27/2019,49.27,119.67,61.12,59.63,28.07,89.33,77.52,57.71,39.29,79.69,64.7
10/4/2019,49.41,119.22,61.4,57.38,27.46,90.13,75.61,56.31,39.4,80.55,64.77
10/11/2019,49.76,120.59,60.84,57.89,27.65,89.94,76.8,57.35,39.23,81.57,63.92
10/18/2019,50.3,122.17,60.74,57.03,28.11,91.76,76.94,57.51,39.91,80.91,63.82
10/25/2019,50.32,121.06,61.09,59.52,28.64,92.06,78.6,58.26,39.49,82.92,64.16
11/1/2019,50.95,121.65,61.15,59.28,29.12,94.87,80.22,59.01,39.23,84.67,64.09
11/8/2019,51.53,121.34,60.76,60.69,29.84,95.13,81.76,60.17,37.78,86.12,61.75
11/15/2019,51.99,121.37,61.33,60.08,29.75,97.46,82.31,60.36,38.55,87.24,62.85
11/22/2019,52.04,120.31,61.3,59.83,29.92,98.26,81.67,59.33,38.12,86.59,63
11/29/2019,52.56,122.45,62,58.89,30.15,99.49,82.04,60.04,38.65,88.16,63.05
12/6/2019,52.76,121.74,62.67,59.72,30.36,100.41,81.11,60.1,38.52,87.76,63.21
12/13/2019,52.56,123.17,62.78,60.31,30.71,100.88,81.71,60.44,37.59,89.49,63.37
12/20/2019,53.93,124.55,63.1,61.36,30.68,102.7,81.44,60.88,38.24,90.95,64.59
12/27/2019,54.09,126.05,63.25,61.68,30.77,102.94,81.9,61.16,38.43,91.91,64.38
1/3/2020,53.91,125.83,62.38,60.4,30.75,101.24,82.85,59.72,38.5,92.34,63.94
1/10/2020,55.16,126.34,62.66,59.81,30.69,102.8,82.75,59.58,38.64,94.35,64.4
1/17/2020,56.68,127.99,63.82,59.12,31.03,104.49,84.41,61.14,39.59,97.12,66.76
1/24/2020,55.69,125.95,63.59,56.62,30.39,102.46,83.55,59.74,39.99,97.43,68.36
1/31/2020,53.91,125.32,63.18,53.44,29.96,99.14,81.11,57.63,39.23,95.33,68.98
2/7/2020,55.86,128.31,64.26,53.98,30.92,103.04,83.65,60.09,39.94,99.69,68.59
2/14/2020,56.94,131.69,64.79,54.58,31.17,103.93,84.64,60.51,41.88,101.96,70.39
2/21/2020,56.12,130.3,64.65,54.14,30.77,103.43,83.59,60.34,41.93,99.44,70.33
2/28/2020,50.76,115.83,57.99,45.27,26.59,92.61,73.08,52.72,36.79,88.37,62.18
3/6/2020,49.82,114.65,61.54,42.5,25.55,97.15,72.45,53.53,38.5,88.91,67.11
3/13/2020,46.19,102.3,56.61,32.19,23.05,90.66,62.94,46.51,35.31,84.19,57.67
3/20/2020,40.22,87.81,50.4,25.86,18.91,79.09,51.4,40.68,27.16,71.42,47.82
3/27/2020,42.76,98.05,53.51,28.33,21.01,84.99,58.89,44.26,31.21,78.59,55.68
4/3/2020,42.15,92.41,55.35,29.83,19.64,86.78,56.34,42.61,29.3,77.12,51.79
4/10/2020,46.57,106.68,58.13,33.91,23.38,94.83,63.22,51.42,35.53,85.2,60.83
4/17/2020,48.41,112.93,60.5,33.95,22.39,100.78,63.1,50.26,34.54,89.26,60.53
4/24/2020,48.66,112.25,58.71,34.62,21.74,100.29,61.57,49.86,33.08,88.63,58.32
5/1/2020,49.58,112.24,57.62,35.85,22.06,97.83,62.27,50.79,32.88,88.9,55.88
5/8/2020,51.86,117.26,58.12,38.78,22.29,99.41,63.11,52.48,33.35,94.78,56.16
5/15/2020,51.25,115.48,57.39,35.99,21.05,100.42,59.46,50.87,30.98,93.47,54.81
5/22/2020,53.71,121.23,57.47,38.48,21.92,99.62,63.84,52.93,32.7,96.49,56.48
5/29/2020,54.02,124.19,59.23,38.76,23.41,103.01,67.67,55.45,34.65,97.97,59.69
6/5/2020,55.51,131.25,60.42,44.84,26.24,103.21,74.79,59.83,37.05,101.41,61.19
6/12/2020,54.12,125.34,58.12,39.82,23.83,97.6,68.82,55.04,35.54,99.41,58.67
6/19/2020,55.54,127.38,59.62,39.57,23.98,100.75,69.23,56.18,35.35,102.24,57.49
6/26/2020,52.47,123.75,57.13,36.51,22.58,97.51,66.14,54.49,33.73,101.54,55.18
7/3/2020,55.2,129.51,58.99,37.34,22.97,101.6,68.98,57.53,35.64,105.27,57.9
7/10/2020,57.7,133.31,60.29,35.54,23.46,100.71,68.01,57.99,35,108.08,57.77
7/17/2020,57.41,133.84,61.59,36.69,23.95,105.89,72,61.16,35.02,106.83,60.21
7/24/2020,56.85,135.54,62.13,37.51,24.27,105.1,71.84,61.47,34.8,105.2,60.28
7/31/2020,58.13,137,62.7,36.03,24.03,105.53,71.73,60.36,36.26,110.43,60.83
8/7/2020,59.93,140.38,63.51,37.18,24.84,106.41,75.13,61.71,36.5,113.74,61.49
8/14/2020,59.83,143.59,64.16,38.19,25.18,106.8,77.53,62.63,35.86,113.88,60.38
8/21/2020,60.75,146.18,64.3,36.03,24.31,106.82,76.45,61.89,35.9,117.94,59.42
8/28/2020,63.56,150.53,65.77,36.44,25.36,108,78.79,63.97,36.57,123.16,59.07
9/4/2020,61.78,147.16,65.54,34.87,25.29,105.7,77.84,64.44,36.25,118.12,59.37
9/11/2020,59.78,146.07,64.65,32.62,24.71,104.59,77.61,65.07,35.55,112.96,58.93
9/18/2020,58.74,143.89,63.69,33.61,24.68,105.54,78.78,65.72,35.6,111.76,58.52
9/25/2020,58.52,143.92,63.04,30.18,23.49,103.02,76.49,62.46,34.67,113.94,58.72
10/2/2020,59.06,148.27,64.1,29.31,24.3,104.16,77.61,63.3,36.43,114.94,60.69
10/9/2020,60.33,153.39,65.74,30.79,25.23,108.36,80.71,66.51,36.93,120.18,63.48
10/16/2020,60.78,152.85,66.17,30.19,24.99,107.92,81.6,66.27,36.11,121.12,64
10/23/2020,62.11,152.99,65.39,30.39,25.25,107.82,81.17,66,35.63,118.44,64.75
10/30/2020,59.2,142.97,62.26,28.72,23.86,101.66,75.87,63.18,34.15,110.86,62.38
11/6/2020,63.7,152.76,65.09,28.93,24.96,109.92,81.34,68,35.63,121.58,64.13
11/13/2020,64.11,153.45,67.53,33.88,27.03,112.12,85.76,69.01,37.51,121.2,66.09
11/20/2020,63.88,153.69,66.5,35.81,27.18,108.8,86.66,69.76,36.94,120.11,63.54
11/27/2020,65.63,158.22,66.92,38.91,28.47,109.44,88.82,71.71,36.82,122.66,63.76
12/4/2020,66.98,158.03,67.63,40.63,28.98,112.54,89.21,71.78,37.33,126.04,62.41
12/11/2020,66.94,156.3,67.32,41.12,28.46,111.68,88.77,70.9,36.27,124.3,62.24
12/18/2020,67.11,159.99,67.93,39.4,28.49,113,88.84,72.21,36.44,128.25,62.29
12/25/2020,66.26,157.88,66.72,38.12,28.95,111.47,88,71.58,35.91,129.06,61.21
1/1/2021,67.48,160.78,67.45,37.9,29.48,113.44,88.55,72.39,36.56,130.02,62.7
1/8/2021,67.49,168.79,66.9,41.42,30.92,117.39,89.61,76.51,35.66,130.76,62.33
1/15/2021,65.29,165.8,65.63,42.75,30.94,116.97,88.83,75.34,36.34,127.42,62.99
1/22/2021,68.84,170.1,65.07,42.07,30.34,117.59,88.51,74.38,36.82,132.83,62.84
1/29/2021,66.88,162.01,64.09,39.32,28.95,115.03,84.77,70.64,36.76,128.93,62.15
2/5/2021,71.41,172.23,65.76,42.56,30.89,115.67,88.99,73.53,37.94,135.32,63.59
2/12/2021,73,170.32,65.69,44.67,31.52,117.28,90.3,74.34,38.37,138.59,62.62
2/19/2021,72.48,169.62,64.94,46.18,32.41,114.41,90.98,75.05,38.09,136.05,61.41
2/26/2021,71.57,161.15,63.3,48.15,32.31,112.61,90.61,73.55,37.34,130.69,58.36
3/5/2021,73.37,156.82,64.7,52.95,33.71,113.02,93.44,75.31,36.84,128.95,59.68
3/12/2021,74.69,166.77,66.15,53.57,34.77,114.6,96.77,78.69,39.03,131.41,62.41
3/19/2021,75.41,166.45,66.38,49.53,34.22,115.07,96.47,78,38.64,129.6,62.2
3/26/2021,72.29,166.06,68.58,50.43,34.37,117.02,98.32,79.69,39.91,132.67,63.47
