Symbol,gics_sector_name,gics_sub_industry_name,gics_industry_name,gics_industry_group_name,gics_industry,gics_sector
CTVA UN Equity,Materials,Fertilizers & Agricultural Chemicals,Chemicals,Materials,151010,15
TXN UW Equity,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
TXT UN Equity,Industrials,Aerospace & Defense,Aerospace & Defense,Capital Goods,201010,20
TMO UN Equity,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",352030,35
TJX UN Equity,Consumer Discretionary,Apparel Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,255040,25
GL UN Equity,Financials,Life & Health Insurance,Insurance,Insurance,403010,40
JCI UN Equity,Industrials,Building Products,Building Products,Capital Goods,201020,20
ULTA UW Equity,Consumer Discretionary,Other Specialty Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,255040,25
UNP UN Equity,Industrials,Rail Transportation,Ground Transportation,Transportation,203040,20
KEYS UN Equity,Information Technology,Electronic Equipment & Instruments,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,452030,45
UNH UN Equity,Health Care,Managed Health Care,Health Care Providers & Services,Health Care Equipment & Services,351020,35
BX UN Equity,Financials,Asset Management & Custody Banks,Capital Markets,Financial Services,402030,40
VTR UN Equity,Real Estate,Health Care REITs,Health Care REITs,Equity Real Estate Investment Trusts (REITs),601050,60
LH UN Equity,Health Care,Health Care Services,Health Care Providers & Services,Health Care Equipment & Services,351020,35
VMC UN Equity,Materials,Construction Materials,Construction Materials,Materials,151020,15
WY UN Equity,Real Estate,Timber REITs,Specialized REITs,Equity Real Estate Investment Trusts (REITs),601080,60
WMB UN Equity,Energy,Oil & Gas Storage & Transportation,"Oil, Gas & Consumable Fuels",Energy,101020,10
CEG UW Equity,Utilities,Electric Utilities,Electric Utilities,Utilities,551010,55
WEC UN Equity,Utilities,Multi-Utilities,Multi-Utilities,Utilities,551030,55
ADBE UW Equity,Information Technology,Application Software,Software,Software & Services,451030,45
VST UN Equity,Utilities,Independent Power Producers & Energy Traders,Independent Power and Renewable Electricity Producers,Utilities,551050,55
AES UN Equity,Utilities,Independent Power Producers & Energy Traders,Independent Power and Renewable Electricity Producers,Utilities,551050,55
EXPD UN Equity,Industrials,Air Freight & Logistics,Air Freight & Logistics,Transportation,203010,20
AMGN UW Equity,Health Care,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",352010,35
AAPL UW Equity,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,452020,45
ADSK UW Equity,Information Technology,Application Software,Software,Software & Services,451030,45
CTAS UW Equity,Industrials,Diversified Support Services,Commercial Services & Supplies,Commercial & Professional Services,202010,20
CMCSA UW Equity,Communication Services,Cable & Satellite,Media,Media & Entertainment,502010,50
TAP UN Equity,Consumer Staples,Brewers,Beverages,"Food, Beverage & Tobacco",302010,30
KLAC UW Equity,Information Technology,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
MAR UW Equity,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Hotels, Restaurants & Leisure",Consumer Services,253010,25
FI UN Equity,Financials,Transaction & Payment Processing Services,Financial Services,Financial Services,402010,40
MKC UN Equity,Consumer Staples,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",302020,30
PCAR UW Equity,Industrials,Construction Machinery & Heavy Transportation Equipment,Machinery,Capital Goods,201060,20
COST UW Equity,Consumer Staples,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,301010,30
SYK UN Equity,Health Care,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,351010,35
TSN UN Equity,Consumer Staples,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",302020,30
LW UN Equity,Consumer Staples,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",302020,30
AMAT UW Equity,Information Technology,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
CAH UN Equity,Health Care,Health Care Distributors,Health Care Providers & Services,Health Care Equipment & Services,351020,35
CINF UW Equity,Financials,Property & Casualty Insurance,Insurance,Insurance,403010,40
PARA UW Equity,Communication Services,Broadcasting,Media,Media & Entertainment,502010,50
DHI UN Equity,Consumer Discretionary,Homebuilding,Household Durables,Consumer Durables & Apparel,252010,25
EA UW Equity,Communication Services,Interactive Home Entertainment,Entertainment,Media & Entertainment,502020,50
ERIE UW Equity,Financials,Property & Casualty Insurance,Insurance,Insurance,403010,40
FICO UN Equity,Information Technology,Application Software,Software,Software & Services,451030,45
FAST UW Equity,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,Capital Goods,201070,20
MTB UN Equity,Financials,Regional Banks,Banks,Banks,401010,40
XEL UW Equity,Utilities,Electric Utilities,Electric Utilities,Utilities,551010,55
FITB UW Equity,Financials,Diversified Banks,Banks,Banks,401010,40
GILD UW Equity,Health Care,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",352010,35
HAS UW Equity,Consumer Discretionary,Leisure Products,Leisure Products,Consumer Durables & Apparel,252020,25
HBAN UW Equity,Financials,Regional Banks,Banks,Banks,401010,40
